Thuis\Uit;Genk;Club Brugge;Union;Anderlecht;Gent;Antwerp;
Genk;/;2-2;2-2;1-1;2-1;2-0;bv. 2-1
Club Brugge;3-2;/;2-2;1-0;2-1;3-1;
Union;2-2;1-1;/;2-1;1-0;3-1;
Anderlecht;3-1;2-2;1-1;/;1-0;4-2;
Gent;1-1;2-3;0-1;2-3;/;2-1;
Antwerp;1-2;1-2;1-3;0-3;3-3;/;
;;;;;;;
Bekerfinale;Anderlecht;;;;;;
Club Brugge;1-1;;;;;;
;;;;;;;
Bekerwinnaar;Club Brugge;(ploeg);;;;;
Beste ploeg van POI;Club Brugge;(ploeg);;;;;
Topscorer POI;Tolu;(speler);;;;;
Assistenkoning POI;Vanaken;(speler);;;;;
Meeste Clean Sheats POI;Coosemans;(keeper);;;;;
Meeste gemaakte goals POI;Club Brugge;(ploeg);;;;;
Minste goals tegen POI;Anderlecht;(ploeg);;;;;
Kampioen;Genk;(ploeg);;;;;
